Date,Close
9/28/2017,7.135
9/29/2017,7.295
10/2/2017,7.34
10/3/2017,7.275
10/4/2017,7.255
10/5/2017,7.26
10/6/2017,7.315
10/9/2017,7.345
10/10/2017,7.38
10/11/2017,7.29
10/12/2017,7.305
10/13/2017,7.355
10/16/2017,7.31
10/17/2017,7.23
10/18/2017,7.29
10/19/2017,7.35
10/20/2017,7.28
10/23/2017,7.415
10/24/2017,7.26
10/25/2017,7.505
10/26/2017,7.505
10/27/2017,7.5
10/30/2017,7.445
10/31/2017,7.425
11/1/2017,7.325
11/2/2017,7.295
11/3/2017,7.315
11/6/2017,7.41
11/7/2017,7.425
11/8/2017,7.46
11/9/2017,7.49
11/10/2017,7.505
11/13/2017,7.4
11/14/2017,7.455
11/15/2017,7.42
11/16/2017,7.635
11/17/2017,7.595
11/20/2017,7.54
11/21/2017,7.56
11/22/2017,7.6
11/24/2017,7.805
11/27/2017,7.765
11/28/2017,7.78
11/29/2017,7.75
11/30/2017,7.78
12/1/2017,7.53
12/4/2017,7.73
12/5/2017,7.845
12/6/2017,7.78
12/7/2017,7.835
12/8/2017,7.84
12/11/2017,7.93
12/12/2017,7.955
12/13/2017,7.945
12/14/2017,7.95
12/15/2017,8.03
12/18/2017,8.02
12/19/2017,7.995
12/20/2017,8
12/21/2017,8.045
12/22/2017,8.05
12/26/2017,8.105
12/27/2017,8.09
12/28/2017,8.08
12/29/2017,8.11
1/2/2018,8.145
1/3/2018,8.075
1/4/2018,8.025
1/5/2018,8.175
1/8/2018,8.24
1/9/2018,8.37
1/10/2018,8.495
1/11/2018,8.635
1/12/2018,8.405
1/16/2018,8.89
1/17/2018,9.06
1/18/2018,8.96
1/19/2018,8.995
1/22/2018,9.145
1/23/2018,9.225
1/24/2018,9.23
1/25/2018,9.225
1/26/2018,9.25
1/29/2018,9.275
1/30/2018,9.125
1/31/2018,9.005
2/1/2018,8.965
2/2/2018,8.875
2/5/2018,8.685
2/6/2018,8.735
2/7/2018,8.74
2/8/2018,8.555
2/9/2018,8.68
2/12/2018,8.81
2/13/2018,8.73
2/14/2018,8.785
2/15/2018,8.805
2/16/2018,8.795
2/20/2018,8.82
2/21/2018,8.835
2/22/2018,8.9
2/23/2018,8.98
2/26/2018,8.84
2/27/2018,8.76
2/28/2018,8.83
3/1/2018,8.75
3/2/2018,8.875
3/5/2018,9
3/6/2018,8.995
